Model,Split,Threshold,AUC,AUC Lower CI,AUC Upper CI,Accuracy,Precision,Recall,Specificity,F1 Score,F2 Score,TN,FP,FN,TP
readmit_hypertrial_auc,validation,0.5022004246711731,0.7613731131250733,0.7609061066307444,0.7618401196194017,0.6445522907148237,0.22129063420436032,0.7589280575464284,0.628648286683961,0.34266571854483774,0.5107494433264885,4320325,2552079,230371,725240
readmit_hypertrial_auc,test,0.5022004246711731,0.7495945377382451,0.7488186633348898,0.7503704121416,0.5891792907654599,0.18810046829320118,0.8005850629728478,0.562408196541015,0.3046275493905487,0.48484124930079564,1610813,1253322,72327,290369
INDEX_MORTALITY,test,1.0,0.5288355104767148,0.5277409280601121,0.5299300928933178,0.7366815925593873,0.16308667257029003,0.3249718772746322,0.7888179153566435,0.217181246637234,0.27114281823267866,2259281,604854,244830,117866
INDEX_READMISSION,test,1.0,0.6362712020643049,0.6353166374657874,0.6372257666628226,0.5707606007256035,0.15982322827336132,0.6621826543441339,0.5591834882084817,0.2574973531500864,0.4065853104421752,1601577,1262558,122525,240171
CHARLINDEX,test,2.0,0.6552816115940113,0.6543732464393792,0.6561899767486434,0.6961873739281667,0.1843617899806219,0.497342126739749,0.721367882449675,0.2690050107372942,0.37128150409516186,2066095,798040,182312,180384
CHARLINDEX_AGE_ADJUST,test,4.0,0.6443609920275015,0.6434605864671423,0.6452613975878609,0.6479378684536005,0.16727058700023836,0.5359584886516532,0.6621182311587966,0.254966963422032,0.3719794727187625,1896396,967739,168306,194390
