Model,Split,Threshold,AUC,AUC Lower CI,AUC Upper CI,Accuracy,Precision,Recall,Specificity,F1 Score,F2 Score,TN,FP,FN,TP
mort_nodie_hypertrial_auc,validation,0.5016471743583679,0.8671929139230012,0.8656457582223602,0.8687400696236425,0.7261267383877011,0.011950623669420572,0.856037049288786,0.7256231096394681,0.023572170301142264,0.0565928802928711,5658253,2139532,4352,25878
mort_nodie_hypertrial_auc,test,0.5016471743583679,0.8556685827152031,0.8532019279554935,0.8581352374749124,0.6848372288477457,0.011146323125528343,0.8756024787697957,0.6840613487005874,0.02201243043581535,0.053031285910219814,2198409,1015351,1626,11445
INDEX_MORTALITY,test,1.0,0.6413537979976591,0.6358494510591304,0.6468581449361879,0.7763338086190446,0.008904910798434399,0.4915461709127075,0.777492096485114,0.017492917750614973,0.04151611018924885,2498673,715087,6646,6425
INDEX_READMISSION,test,1.0,0.6899711727031685,0.6854353813512297,0.6945069640551076,0.5365796969224604,0.0064205275741047825,0.7375870247111928,0.5357621602110924,0.01273024128831468,0.031022463854855672,1721811,1491949,3430,9641
CHARLINDEX,test,2.0,0.7621048869713534,0.7584986619296711,0.7657111120130357,0.6986994360721092,0.009311657630576533,0.6962741947823425,0.6987093000099572,0.01837754228389577,0.04419415710607666,2245484,968276,3970,9101
CHARLINDEX_AGE_ADJUST,test,5.0,0.7843627071488133,0.7813001566345456,0.787425257663081,0.73516090554479,0.010194008618983648,0.6699563920128528,0.735426105247436,0.02008244420109964,0.04804579740551597,2363483,850277,4314,8757
