Index,Index_Column,Model_AUC,Index_AUC,AUC_Difference,P_Value,Significant
ECI (Readmission),INDEX_READMISSION,0.7495945377026272,0.6362712020643049,0.11332333563832231,0.0,Yes
CCI,CHARLINDEX,0.7495945377026272,0.6552816115940113,0.09431292610861586,0.0,Yes
CCI Age Adjusted,CHARLINDEX_AGE_ADJUST,0.7495945377026272,0.6443609920275015,0.10523354567512566,0.0,Yes
